"campaignid","sample","latitude_dd","longitude_dd","location","site","depth_m","observer_count","successful_count","successful_length","status","observer_length","date_time"
"2014-12_Geographe.Bay_stereoBRUVs","35",-33.4055,115.4157,"Geographe Bay","Geographe Bay",27.9,"Logan","Yes","Yes","Fished","Unknown","2014-12-13T11:14:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","36",-33.4269,115.2077,"Geographe Bay","Geographe Bay",38.2,"Hayley","Yes","Yes","Fished","Unknown","2014-12-10T11:17:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","37",-33.3585,115.3721,"Geographe Bay","Geographe Bay",30.3,"Hayley","Yes","Yes","Fished","Unknown","2014-12-11T09:11:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","38",-33.5037,115.1274,"Geographe Bay","Geographe Bay",34.5,"Hayley","Yes","Yes","Fished","Unknown","2014-12-09T12:45:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","39",-33.465,115.4329,"Geographe Bay","Geographe Bay",19.8,"Hayley","Yes","Yes","Fished","Unknown","2014-12-11T13:20:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","40",-33.472,115.2287,"Geographe Bay","Geographe Bay",33.7,"Hayley","Yes","Yes","Fished","Unknown","2014-12-09T09:57:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","41",-33.3679,115.0986,"Geographe Bay","Geographe Bay",42.5,"Hayley","Yes","Yes","Fished","Unknown","2014-12-10T07:35:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","42",-33.5425,115.3862,"Geographe Bay","Geographe Bay",13,"Logan","Yes","No","No-take","Unknown","2014-12-12T13:13:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","44",-33.3984,115.3097,"Geographe Bay","Geographe Bay",34.4,"Hayley","Yes","Yes","Fished","Unknown","2014-12-11T06:54:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","45",-33.4446,115.1317,"Geographe Bay","Geographe Bay",41.1,"Hayley","Yes","Yes","Fished","Unknown","2014-12-09T13:28:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","47",-33.5485,115.2878,"Geographe Bay","Geographe Bay",24.3,"Hayley","Yes","Yes","Fished","Unknown","2014-12-12T10:29:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","48",-33.4028,115.5134,"Geographe Bay","Geographe Bay",17.2,"Hayley","Yes","Yes","Fished","Unknown","2014-12-11T12:31:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","49",-33.3809,115.2721,"Geographe Bay","Geographe Bay",37.7,"Hayley","Yes","Yes","Fished","Unknown","2014-12-10T13:51:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","50",-33.4108,115.1742,"Geographe Bay","Geographe Bay",40.5,"Curtin","Yes","No","Fished","Unknown","2014-12-10T10:29:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","51",-33.4316,115.4137,"Geographe Bay","Geographe Bay",25.4,"Unknown","Yes","No","Fished","Unknown","2014-12-13T10:52:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","52",-33.4927,115.2982,"Geographe Bay","Geographe Bay",29.7,"Curtin","Yes","No","Fished","Unknown","2014-12-09T06:14:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","53",-33.3582,115.3565,"Geographe Bay","Geographe Bay",31.4,"Hayley","Yes","Yes","Fished","Unknown","2014-12-11T09:04:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","54",-33.5131,115.1532,"Geographe Bay","Geographe Bay",33.1,"Hayley","Yes","Yes","Fished","Unknown","2014-12-09T10:47:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","55",-33.5709,115.2801,"Geographe Bay","Geographe Bay",22.2,"Hayley","Yes","No","Fished","Unknown","2014-12-12T09:05:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","56",-33.4953,115.2224,"Geographe Bay","Geographe Bay",32,"Curtin","Yes","No","Fished","Unknown","2014-12-09T09:49:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","58",-33.5697,115.3796,"Geographe Bay","Geographe Bay",13.5,"Hayley","Yes","Yes","No-take","Unknown","2014-12-12T13:02:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","60",-33.3626,115.5049,"Geographe Bay","Geographe Bay",21.5,"Hayley","Yes","Yes","Fished","Unknown","2014-12-11T09:55:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","61",-33.4993,115.1345,"Geographe Bay","Geographe Bay",34.8,"Hayley","Yes","Yes","Fished","Unknown","2014-12-09T12:50:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","62",-33.4505,115.3307,"Geographe Bay","Geographe Bay",29.3,"Hayley","Yes","Yes","Fished","Unknown","2014-12-11T06:24:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","63",-33.5039,115.2562,"Geographe Bay","Geographe Bay",30,"Hayley","Yes","Yes","Fished","Unknown","2014-12-09T06:29:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","64",-33.4364,115.5095,"Geographe Bay","Geographe Bay",14.2,"Hayley","Yes","Yes","Fished","Unknown","2014-12-11T12:54:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","65",-33.3597,115.2048,"Geographe Bay","Geographe Bay",39.4,"Hayley","Yes","Yes","Fished","Unknown","2014-12-10T13:15:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","67",-33.4783,115.0859,"Geographe Bay","Geographe Bay",21.4,"Hayley","Yes","Yes","Fished","Unknown","2014-12-13T10:10:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","68",-33.3882,115.2426,"Geographe Bay","Geographe Bay",38.9,"Molly","Yes","No","Fished","Unknown","2014-12-10T14:07:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","69",-33.3534,115.404,"Geographe Bay","Geographe Bay",28.7,"Hayley","Yes","Yes","Fished","Unknown","2014-12-11T09:23:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","70",-33.4159,115.1514,"Geographe Bay","Geographe Bay",41,"Hayley","Yes","Yes","Fished","Unknown","2014-12-10T10:46:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","71",-33.4271,115.4287,"Geographe Bay","Geographe Bay",24.4,"Logan","Yes","Yes","Fished","Unknown","2014-12-13T10:58:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","72",-33.4625,115.3224,"Geographe Bay","Geographe Bay",29.4,"Hayley","Yes","Yes","Fished","Unknown","2014-12-11T06:07:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","73",-33.3718,115.1456,"Geographe Bay","Geographe Bay",41.5,"Hayley","Yes","Yes","Fished","Unknown","2014-12-10T10:10:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","75",-33.5893,115.2946,"Geographe Bay","Geographe Bay",16.6,"Hayley","Yes","No","Fished","Unknown","2014-12-12T08:52:00+08:00"
