"campaignid","sample","latitude","longitude","date","time","location","site","depth","observer","successful.count","successful.length","raw.hdd.number","con.hdd.number","commonwealth.zone","state.zone","status"
"2014-12_Geographe.Bay_stereoBRUVs","28",-33.4272,115.2873,"2014-12-11","07:07:00","Geographe Bay","Geographe Bay","34","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","29",-33.487,115.1764,"2014-12-09","10:30:00","Geographe Bay","Geographe Bay","34.3","Hayley","Yes","Yes",NA,"2","Multiple Use Zone",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","30",-33.4241,115.3341,"2014-12-11","06:37:00","Geographe Bay","Geographe Bay","31.8","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","31",-33.5986,115.2369,"2014-12-12","05:55:00","Geographe Bay","Geographe Bay","26.3","Logan","Yes","Yes",NA,"4","Multiple Use Zone",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","32",-33.4808,115.4621,"2014-12-13","07:53:00","Geographe Bay","Geographe Bay","14.1","Hayley","Yes","Yes",NA,"3","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","33",-33.3528,115.3205,"2014-12-11","08:54:00","Geographe Bay","Geographe Bay","34.1","Molly","Yes","No",NA,"1L","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","34",-33.3845,115.0739,"2014-12-10","07:05:00","Geographe Bay","Geographe Bay","43","Curtin","Yes","No",NA,"2L","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","35",-33.4055,115.4157,"2014-12-13","11:14:00","Geographe Bay","Geographe Bay","27.9","Logan","Yes","Yes",NA,"5","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","36",-33.4269,115.2077,"2014-12-10","11:17:00","Geographe Bay","Geographe Bay","38.2","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","37",-33.3585,115.3721,"2014-12-11","09:11:00","Geographe Bay","Geographe Bay","30.3","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","38",-33.5037,115.1274,"2014-12-09","12:45:00","Geographe Bay","Geographe Bay","34.5","Hayley","Yes","Yes",NA,"1","Multiple Use Zone",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","39",-33.465,115.4329,"2014-12-11","13:20:00","Geographe Bay","Geographe Bay","19.8","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
